patron_gordon,orden,dominio_nanda,clase_nanda,nota
Percepción-manejo de la salud,1,,,"Sin dominio NANDA propio en tu base. Alimenta hallazgos generales (antecedentes, adherencia) que matizan cualquier diagnóstico, no genera uno por sí solo."
Nutricional-metabólico,2,Nutrición,,"Mapeo directo, todas las clases."
Nutricional-metabólico,2,Seguridad,,"Termorregulación es de origen metabólico; Gordon la agrupa aquí, no en NANDA (que la separa como dominio propio)."
Eliminación,3,Eliminación/Intercambio,,"Mapeo directo, todas las clases."
Actividad-ejercicio,4,Actividad/Reposo,Actividad/Ejercicio,"Clase específica dentro del dominio compartido."
Actividad-ejercicio,4,Actividad/Reposo,Respuestas cardiovasculares,"Clase específica dentro del dominio compartido."
Actividad-ejercicio,4,Actividad/Reposo,Respuestas cardiovasculares pulmonares,"Clase específica dentro del dominio compartido."
Actividad-ejercicio,4,Actividad/Reposo,Función respiratoria,"Clase específica dentro del dominio compartido."
Actividad-ejercicio,4,Actividad/Reposo,Equilibrio de la energía,"Fatiga como equilibrio energético; Gordon la ubica en Actividad-ejercicio."
Actividad-ejercicio,4,Actividad/Reposo,Autocuidado,"Gordon ubica autocuidado (AVD) dentro de Actividad-ejercicio."
Actividad-ejercicio,4,Respiratorio,,"Gordon agrupa función cardiopulmonar dentro de Actividad-ejercicio; NANDA la separa como dominio propio."
Sueño-descanso,5,Actividad/Reposo,Sueño/Descanso,"Clase específica dentro del dominio compartido — la única que corresponde a Sueño-descanso, no a Actividad-ejercicio."
Cognitivo-perceptual,6,Percepción/Cognición,,"Mapeo directo."
Cognitivo-perceptual,6,Confort,,"Gordon ubica la percepción del dolor aquí; NANDA lo separa en dominio Confort. Punto de fricción real del crosswalk — documentar en protocolo."
Autopercepción-autoconcepto,7,Autopercepción,,"Mapeo directo."
Rol-relaciones,8,Rol/Relaciones,,"Mapeo directo."
Sexualidad-reproducción,9,,,"Sin dominio NANDA con diagnósticos propios en tu base actual (0 de 60). Relevante para ampliar módulo obstétrico a futuro."
Afrontamiento-tolerancia al estrés,10,Afrontamiento/Tolerancia al estrés,,"Mapeo directo."
Valores-creencias,11,,,"Sin dominio NANDA propio en tu base."
SIN_PATRON_GORDON,-,Seguridad/Protección,,"HUECO REAL: NANDA tiene este dominio completo (12 de 60 diagnósticos, el más numeroso) sin patrón de origen limpio en Gordon. Infección, integridad cutánea, caídas, sangrado, shock quedan repartidos de forma forzada entre varios patrones si se insiste en mapeo 1:1 — la alternativa honesta es tratarlo como categoría transversal de seguridad, no derivada de un patrón único."
SIN_PATRON_GORDON,-,Crecimiento/Desarrollo,,"HUECO REAL: 1 diagnóstico (Retraso en el desarrollo) sin patrón Gordon correspondiente — el modelo de Gordon es anterior a la separación explícita de este dominio en NANDA-I."

